Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 01/01  01:00:00,259.3431223,21.21587417,0,0,24.92036353,149.5221812,259.0148792,256.8254317,2.18944752,
 01/01  02:00:00,255.2586462,17.12941438,0,0,24.92036353,149.5221812,260.778028,258.5883571,2.189670927,
 01/01  03:00:00,259.6104805,21.41176798,0,0,24.92036353,149.5221812,348.5974614,346.4079298,2.189531531,
 01/01  04:00:00,255.2708534,17.12941438,0,0,24.92036353,149.5221812,273.7983475,271.6086527,2.189694845,
 01/01  05:00:00,271.8498217,21.41176798,0,0,24.92036353,149.5221812,366.6789603,364.4893446,2.189615697,
 01/01  06:00:00,291.9519614,17.12941438,0,0,24.92036353,149.5221812,287.1518912,284.9592015,2.192689693,
 01/01  07:00:00,345.1932237,21.41176798,0,0,24.92036353,149.5221812,375.1189569,372.9292663,2.189690555,
 01/01  08:00:00,331.1062388,17.12941438,0,0,24.92036353,149.5221812,280.5305454,278.3411134,2.189432037,
 01/01  09:00:00,318.3404167,21.41176798,0,0,24.92036353,149.5221812,328.1681006,325.9784446,2.189655986,
 01/01  10:00:00,277.2989844,17.12941438,0,0,24.92036353,149.5221812,213.1534851,210.9639683,2.189516799,
 01/01  11:00:00,232.7146898,21.41176798,0,0,24.92036353,149.5221812,241.1934388,239.0037583,2.189680432,
 01/01  12:00:00,228.3826502,17.12941438,0,0,24.92036353,149.5221812,180.7303377,176.3671186,4.363219128,
 01/01  13:00:00,232.6831205,21.41176798,0,0,24.92036353,149.5221812,201.8718775,199.6803118,2.191565703,
 01/01  14:00:00,228.3648634,17.12941438,0,0,24.92036353,149.5221812,159.8662493,153.3222722,6.543977077,
 01/01  15:00:00,232.6854719,21.41176798,0,0,24.92036353,149.5221812,206.2189042,204.0272394,2.191664844,
 01/01  16:00:00,228.3696302,17.12941438,0,0,24.92036353,149.5221812,165.6893921,163.4997127,2.189679393,
 01/01  17:00:00,315.749648,21.41176798,0,0,24.92036353,149.5221812,209.5924614,207.4029661,2.189495258,
 01/01  18:00:00,365.190061,17.12941438,0,0,24.92036353,149.5221812,170.4567799,168.2670909,2.189688924,
 01/01  19:00:00,369.5014899,21.41176798,0,0,24.92036353,149.5221812,207.9717209,205.7821409,2.189579976,
 01/01  20:00:00,340.7351617,17.12941438,0,0,24.92036353,149.5221812,157.8385871,155.6488887,2.189698364,
 01/01  21:00:00,345.04299,21.41176798,0,0,24.92036353,149.5221812,190.9184808,188.7288163,2.189664528,
 01/01  22:00:00,316.2885996,17.12941438,0,0,24.92036353,149.5221812,156.0701486,151.7051272,4.365021443,
 01/01  23:00:00,296.1529099,21.41176798,0,0,24.92036353,149.5221812,190.1552869,187.965581,2.18970596,
 01/01  24:00:00,267.3987166,17.12941438,0,0,24.92036353,149.5221812,155.111142,152.9216201,2.189521877,
 01/02  01:00:00,309.3111445,21.41176798,0,0,24.92036353,199.3629083,169.6865358,167.4961236,2.190412151,
 01/02  02:00:00,304.999904,17.12941438,0,0,24.92036353,199.3629083,132.5089716,130.3182974,2.190674282,
 01/02  03:00:00,309.3069574,21.41176798,0,0,24.92036353,199.3629083,166.950603,162.5892721,4.361330942,
 01/02  04:00:00,305.0037836,17.12941438,0,0,24.92036353,199.3629083,137.9314665,135.7407484,2.190718054,
 01/02  05:00:00,321.542368,21.41176798,0,0,24.92036353,199.3629083,182.3746767,180.1842504,2.190426298,
 01/02  06:00:00,366.5988652,17.12941438,0,0,49.84072707,199.3629083,148.9760599,144.6086236,4.367436325,
 01/02  07:00:00,430.8528939,29.09957203,0,0,49.84072707,199.3629083,3032.567091,3028.202102,4.364988412,
 01/02  08:00:00,519.2121331,29.09957203,0,0,149.5221812,199.3629083,1942.04734,1933.28994,8.757400378,
 01/02  09:00:00,1049.50273,29.09957203,0,0,448.5665436,448.5665436,1125.825086,1108.198475,17.6266113,
 01/02  10:00:00,1012.529596,29.09957203,0,0,448.5665436,448.5665436,837.3962349,817.5398967,19.8563382,
 01/02  11:00:00,963.4548521,29.09957203,0,0,448.5665436,448.5665436,649.0733556,629.2099827,19.8633729,
 01/02  12:00:00,963.408082,29.09957203,0,0,448.5665436,448.5665436,606.9646783,584.8116841,22.15299416,
 01/02  13:00:00,913.6132583,29.09957203,0,0,448.5665436,398.7258165,675.7404005,646.8077252,28.93267529,
 01/02  14:00:00,963.3147485,29.09957203,0,0,448.5665436,448.5665436,511.445667,484.7808308,26.6648362,
 01/02  15:00:00,990.9967074,29.09957203,1.119976328,0,448.5665436,448.5665436,450.2327701,432.6127014,17.62006866,
 01/02  16:00:00,1050.902478,29.09957203,44.82113411,0,448.5665436,448.5665436,402.6680698,387.2580581,15.41001175,
 01/02  17:00:00,1286.512953,29.09957203,193.5207449,0,448.5665436,448.5665436,366.5742916,344.4503535,22.12393814,
 01/02  18:00:00,1377.594818,29.09957203,341.9008357,0,348.8850895,398.7258165,420.988947,407.8207224,13.1682246,
 01/02  19:00:00,1216.100854,29.09957203,378.844963,0,249.2036353,299.0443624,550.0455118,539.093756,10.95175582,
 01/02  20:00:00,1195.556369,29.09957203,382.7536154,0,249.2036353,299.0443624,543.9669777,537.4058155,6.561162215,
 01/02  21:00:00,1046.619807,29.09957203,383.2490997,0,149.5221812,249.2036353,667.6588727,658.9094451,8.749427533,
 01/02  22:00:00,927.5497395,29.09957203,291.5568222,0,149.5221812,249.2036353,671.3224011,666.9556324,4.366768733,
 01/02  23:00:00,349.3569381,0,0,0,49.84072707,199.3629083,2.190616633,0,2.190616633,
 01/02  24:00:00,299.992179,0,0,0,24.92036353,199.3629083,4.361092838,0,4.361092838,
 01/03  01:00:00,287.7699824,0,0,0,24.92036353,199.3629083,2.19048282,0,2.19048282,
 01/03  02:00:00,287.7699824,0,0,0,24.92036353,199.3629083,2.190562764,0,2.190562764,
 01/03  03:00:00,287.7699827,0,0,0,24.92036353,199.3629083,2.190642661,0,2.190642661,
 01/03  04:00:00,287.7699827,0,0,0,24.92036353,199.3629083,4.361156021,0,4.361156021,
 01/03  05:00:00,299.9921802,0,0,0,24.92036353,199.3629083,2.190513768,0,2.190513768,
 01/03  06:00:00,349.3584472,0,0,0,49.84072707,199.3629083,4.366891793,0,4.366891793,
 01/03  07:00:00,503.5306337,29.09957203,0.003456348,0,49.84072707,199.3629083,1153.417249,1149.052517,4.364731926,
 01/03  08:00:00,517.9788641,29.09957203,0,0,149.5221812,199.3629083,858.5495507,849.7917672,8.757783561,
 01/03  09:00:00,1048.74732,29.09957203,0,0,448.5665436,448.5665436,365.2578276,347.6302351,17.62759248,
 01/03  10:00:00,1011.98858,29.09957203,0,0,448.5665436,448.5665436,250.182094,230.3244007,19.85769335,
 01/03  11:00:00,963.1100575,29.09957203,0,0,448.5665436,448.5665436,261.3630175,243.7055071,17.65751037,
 01/03  12:00:00,963.1038965,29.09957203,0,0,448.5665436,448.5665436,255.9991973,231.6306889,24.36850842,
 01/03  13:00:00,913.3022773,29.09957203,0,0,448.5665436,398.7258165,305.1277353,276.1949922,28.93274311,
 01/03  14:00:00,963.1139923,29.09957203,0,0,448.5665436,448.5665436,268.2908196,241.6254704,26.66534917,
 01/03  15:00:00,963.1091353,29.09957203,0,0,448.5665436,448.5665436,266.7124415,249.0920675,17.62037402,
 01/03  16:00:00,963.1184632,29.09957203,0,0,448.5665436,448.5665436,277.8555332,262.4450736,15.41045961,
 01/03  17:00:00,1046.241852,29.09957203,0,0,448.5665436,448.5665436,354.9839101,332.8587701,22.12514006,
 01/03  18:00:00,950.5971564,29.09957203,0,0,348.8850895,398.7258165,510.3082341,497.1393523,13.16888179,
 01/03  19:00:00,751.3748578,29.09957203,0,0,249.2036353,299.0443624,668.6581851,657.7051037,10.95308142,
 01/03  20:00:00,726.9315698,29.09957203,0,0,249.2036353,299.0443624,643.3458604,636.7843423,6.561518138,
 01/03  21:00:00,577.485394,29.09957203,0,0,149.5221812,249.2036353,719.176672,710.4267031,8.749968971,
 01/03  22:00:00,553.0677721,29.09957203,0,0,149.5221812,249.2036353,742.1179102,737.7508894,4.367020851,
 01/03  23:00:00,349.3569397,0,0,0,49.84072707,199.3629083,4.361038647,0,4.361038647,
 01/03  24:00:00,299.9921804,0,0,0,24.92036353,199.3629083,2.190531951,0,2.190531951,
 01/04  01:00:00,287.769984,0,0,0,24.92036353,199.3629083,2.190617327,0,2.190617327,
 01/04  02:00:00,287.7699841,0,0,0,24.92036353,199.3629083,2.190700474,0,2.190700474,
 01/04  03:00:00,287.7699844,0,0,0,24.92036353,199.3629083,4.360911795,0,4.360911795,
 01/04  04:00:00,287.7699841,0,0,0,24.92036353,199.3629083,2.19058121,0,2.19058121,
 01/04  05:00:00,300.7794709,0.783575242,0,0,24.92036353,199.3629083,6.429906256,4.239241636,2.19066462,
 01/04  06:00:00,350.9333471,1.567150484,0,0,49.84072707,199.3629083,13.213255,8.84589223,4.367362773,
 01/04  07:00:00,428.3811704,29.09957203,0,0,49.84072707,199.3629083,1122.201876,1117.836498,4.365377809,
 01/04  08:00:00,518.2292433,29.09957203,0,0,149.5221812,199.3629083,1014.371059,1005.61246,8.758599808,
 01/04  09:00:00,1049.044408,29.09957203,0,0,448.5665436,448.5665436,635.6250476,617.9953917,17.62965591,
 01/04  10:00:00,1012.308053,29.09957203,0,0,448.5665436,448.5665436,558.8685219,539.0108077,19.85771425,
 01/04  11:00:00,963.3436939,29.09957203,0,0,448.5665436,448.5665436,478.2968445,458.4314865,19.86535803,
 01/04  12:00:00,963.2826067,29.09957203,0,0,448.5665436,448.5665436,414.1205046,391.9642217,22.15628284,
 01/04  13:00:00,913.4500015,29.09957203,0,0,448.5665436,398.7258165,429.1438954,400.2093236,28.93457178,
 01/04  14:00:00,963.2103928,29.09957203,0,0,448.5665436,448.5665436,343.9055227,317.2342325,26.67129016,
 01/04  15:00:00,963.2404118,29.09957203,0,0,448.5665436,448.5665436,383.9712127,366.3517391,17.61947357,
 01/04  16:00:00,963.3245802,29.09957203,0,0,448.5665436,448.5665436,476.6928611,461.2811624,15.41169862,
 01/04  17:00:00,1046.484332,29.09957203,0,0,448.5665436,448.5665436,577.560016,555.4354128,22.12460325,
 01/04  18:00:00,950.8457351,29.09957203,0,0,348.8850895,398.7258165,701.7167099,688.5444998,13.17221014,
 01/04  19:00:00,751.5638183,29.09957203,0,0,249.2036353,299.0443624,765.0127997,754.0606273,10.95217241,
 01/04  20:00:00,727.108731,29.09957203,0,0,249.2036353,299.0443624,733.7800728,725.0387254,8.741347398,
 01/04  21:00:00,577.6855714,29.09957203,0,0,149.5221812,249.2036353,815.1380594,806.3882399,8.749819424,
 01/04  22:00:00,553.2760468,29.09957203,0,0,149.5221812,249.2036353,836.7707794,832.403911,4.366868385,
 01/04  23:00:00,349.3569411,0,0,0,49.84072707,199.3629083,2.190631789,0,2.190631789,
 01/04  24:00:00,299.9921819,0,0,0,24.92036353,199.3629083,2.190715244,0,2.190715244,
 01/05  01:00:00,287.7699857,0,0,0,24.92036353,199.3629083,2.190432961,0,2.190432961,
 01/05  02:00:00,287.7699859,0,0,0,24.92036353,199.3629083,4.361126147,0,4.361126147,
 01/05  03:00:00,288.9513234,1.175362863,0,0,24.92036353,199.3629083,8.001229439,5.810536429,2.19069301,
 01/05  04:00:00,289.7413808,1.958938105,0,0,24.92036353,199.3629083,14.32052318,12.13011391,2.190409267,
 01/05  05:00:00,301.5713712,1.567150484,0,0,24.92036353,199.3629083,13.92952511,11.73880499,2.190720122,
 01/05  06:00:00,351.3358617,1.958938105,0,0,49.84072707,199.3629083,22.40883996,18.04123731,4.36760265,
 01/05  07:00:00,428.5184414,29.09957203,0,0,49.84072707,199.3629083,1094.75835,1090.392854,4.365495691,
 01/05  08:00:00,518.9602331,29.09957203,0,0,149.5221812,199.3629083,1492.141238,1483.384104,8.757134394,
 01/05  09:00:00,1049.880999,29.09957203,0,0,448.5665436,448.5665436,1146.6002,1128.970492,17.62970732,
 01/05  10:00:00,1013.185132,29.09957203,0,0,448.5665436,448.5665436,1015.130842,995.2719047,19.85893748,
 01/05  11:00:00,964.0207188,29.09957203,0,0,448.5665436,448.5665436,761.9335429,742.0656712,19.86787176,
 01/05  12:00:00,964.1169348,29.37077003,0,0,448.5665436,448.5665436,633.0080943,608.63907,24.36902429,
 01/05  13:00:00,914.2739639,29.3733468,0,0,448.5665436,398.7258165,631.378551,604.6691342,26.7094168,
 01/05  14:00:00,963.7435413,29.09957203,0,0,448.5665436,448.5665436,571.5626278,542.665243,28.89738476,
 01/05  15:00:00,963.8130094,29.09957203,0,0,448.5665436,448.5665436,610.7908587,595.3706746,15.42018414,
 01/05  16:00:00,964.2187443,29.09957203,0,0,448.5665436,448.5665436,817.4053457,799.7930482,17.61229748,
 01/05  17:00:00,1047.79719,29.09957203,0,0,448.5665436,448.5665436,983.4573686,961.3337967,22.12357195,
 01/05  18:00:00,952.2989008,29.09957203,0,0,348.8850895,398.7258165,994.8281382,981.6611233,13.16701495,
 01/05  19:00:00,753.393656,29.09957203,0,0,249.2036353,299.0443624,1116.908105,1105.955746,10.95235921,
 01/05  20:00:00,730.1790549,29.09957203,0,0,249.2036353,299.0443624,1362.628234,1356.066513,6.561720351,
 01/05  21:00:00,582.3549426,29.09957203,0,0,149.5221812,249.2036353,1457.537437,1448.788472,8.74896506,
 01/05  22:00:00,559.4351567,29.09957203,0,0,149.5221812,249.2036353,1443.717542,1439.350475,4.367066828,
 01/05  23:00:00,349.5556463,0.19589381,0,0,49.84072707,199.3629083,2.725959688,0.535259509,2.19070018,
 01/05  24:00:00,301.9705071,1.958938105,0,0,24.92036353,199.3629083,8.126776257,3.765438143,4.361338114,
 01/06  01:00:00,301.1071498,13.23884841,0,0,24.92036353,199.3629083,23.24972494,21.05898104,2.190743902,
 01/06  02:00:00,305.4713877,17.521202,0,0,24.92036353,199.3629083,49.24974148,47.05898193,2.190759547,
