Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.880622512,6.26595044,0,5.804934189,0,0.159828906,0.159828906,0.159828906,0.161612796,0.035211311,0.092942925,0.413914574,0.432506761
 01/01  02:00:00,0.765503361,6.769136769,0,6.402620856,0,0.176285183,0.176285183,0.176285183,0.094274166,0.020539939,0.07618578,0.381106294,0.340266182
 01/01  03:00:00,0.726264441,7.172924399,0,6.832756275,0,0.188128224,0.188128224,0.188128224,0.067338672,0.014671381,0.062326493,0.37668767,0.314222738
 01/01  04:00:00,0.721386598,7.497714681,0,7.151445771,0,0.196902793,0.196902793,0.196902793,0.067338672,0.014671381,0.053976431,0.371385321,0.320688739
 01/01  05:00:00,0.726880416,7.849028409,0,7.43025428,0,0.204579307,0.204579307,0.204579307,0.067338672,0.014671381,0.065822864,0.357356191,0.394160251
 01/01  06:00:00,0.786228314,8.303006926,0,7.563474321,0,0.208247292,0.208247292,0.208247292,0.067338672,0.014671381,0.080078181,0.398780788,0.712065495
 01/01  07:00:00,1.010281023,8.728515847,0,7.387797658,0,0.203410337,0.203410337,0.203410337,0.154878975,0.033744183,0.140383543,0.460751986,1.308982646
 01/01  08:00:00,1.336666859,8.81392113,0,7.298685935,0,0.200956798,0.200956798,0.200956798,0.316491771,0.068955493,0.228567291,0.489583505,1.481513803
 01/01  09:00:00,1.296280243,8.562937909,0,7.08525904,0,0.195080455,0.195080455,0.195080455,0.303024045,0.066021219,0.30112795,0.413914574,1.44916938
 01/01  10:00:00,1.118839407,8.092730019,0,6.746921894,0,0.185764922,0.185764922,0.185764922,0.154878975,0.033744183,0.375064554,0.352274774,1.321544243
 01/01  11:00:00,1.140846204,8.873688514,0,7.683885446,0,0.211562606,0.211562606,0.211562606,0.127943439,0.027875616,0.395792849,0.360559693,1.164968541
 01/01  12:00:00,1.125344746,7.515447069,0,6.469807296,0,0.178135047,0.178135047,0.178135047,0.127943439,0.027875616,0.413608485,0.360670159,1.020797637
 01/01  13:00:00,1.08711696,6.744987544,0,5.808782893,0,0.159934874,0.159934874,0.159934874,0.127943439,0.027875616,0.39965648,0.354594551,0.911780989
 01/01  14:00:00,1.057013237,6.52717306,0,5.658247325,0,0.155790135,0.155790135,0.155790135,0.127943439,0.027875616,0.361435816,0.366856232,0.843657517
 01/01  15:00:00,1.053087139,6.351506211,0,5.545070018,0,0.152673992,0.152673992,0.152673992,0.134677344,0.029342762,0.331767743,0.387513298,0.779745163
 01/01  16:00:00,1.117596916,6.135005068,0,5.320218154,0,0.146483082,0.146483082,0.146483082,0.168346701,0.036678457,0.339922589,0.409054088,0.786612203
 01/01  17:00:00,1.375524106,6.00478804,0,5.102621723,0,0.140491937,0.140491937,0.140491937,0.282822414,0.061619798,0.389638663,0.483839294,0.868840572
 01/01  18:00:00,1.855103218,5.797450738,0,4.725317437,0,0.130103511,0.130103511,0.130103511,0.52524165,0.114436773,0.480421868,0.587787417,1.031647847
 01/01  19:00:00,2.209266367,6.323453579,0,5.087805049,0,0.140083985,0.140083985,0.140083985,0.781128612,0.170188022,0.43259402,0.638159727,1.191693547
 01/01  20:00:00,2.146772546,5.361362724,0,4.091044054,0,0.112639881,0.112639881,0.112639881,0.828265695,0.180457992,0.349590651,0.658706327,1.224948484
 01/01  21:00:00,1.986157285,5.094613027,0,3.910052867,0,0.107656599,0.107656599,0.107656599,0.713789982,0.155516632,0.310730298,0.681351773,1.137630208
 01/01  22:00:00,1.812116819,4.907843989,0,3.839769729,0,0.105721473,0.105721473,0.105721473,0.599314185,0.130575291,0.29394914,0.665444728,1.022239949
 01/01  23:00:00,1.486383131,4.869543184,0,3.986903888,0,0.10977256,0.10977256,0.10977256,0.451169115,0.098298255,0.234174068,0.575857133,0.842975573
 01/01  24:00:00,1.163033043,4.919521562,0,4.242503972,0,0.11681007,0.11681007,0.11681007,0.309757866,0.067488347,0.151455627,0.500409133,0.642550552
 01/02  01:00:00,0.839880407,5.007926262,0,4.563948136,0,0.125660484,0.125660484,0.125660484,0.161612796,0.035211311,0.086369242,0.413914574,0.415468637
