Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.981488854,9.926211328,0,9.468367095,0,0.260695248,0.260695248,0.260695248,0.161612796,0.035211311,0.092942925,0.413914574,0.429334744
 01/01  02:00:00,0.867894011,10.4840394,0,10.12141615,0,0.278675833,0.278675833,0.278675833,0.094274166,0.020539939,0.07618578,0.381106294,0.336373522
 01/01  03:00:00,0.824653254,10.74273398,0,10.40620616,0,0.286517038,0.286517038,0.286517038,0.067338672,0.014671381,0.062326493,0.37668767,0.310582435
 01/01  04:00:00,0.819951111,11.07388606,0,10.731277,0,0.295467306,0.295467306,0.295467306,0.067338672,0.014671381,0.053976431,0.371385321,0.317028889
 01/01  05:00:00,0.821757323,11.29178921,0,10.87615289,0,0.299456215,0.299456215,0.299456215,0.067338672,0.014671381,0.065822864,0.357356191,0.39102244
 01/01  06:00:00,0.87929541,11.67974786,0,10.94364114,0,0.301314388,0.301314388,0.301314388,0.067338672,0.014671381,0.080078181,0.398780788,0.708639606
 01/01  07:00:00,1.10415627,12.13480913,0,10.79731628,0,0.297285584,0.297285584,0.297285584,0.154878975,0.033744183,0.140383543,0.460751986,1.305757314
 01/01  08:00:00,1.447002155,12.81813922,0,11.30602823,0,0.311292095,0.311292095,0.311292095,0.316491771,0.068955493,0.228567291,0.489583505,1.478389601
 01/01  09:00:00,1.376067544,11.4572124,0,9.983108013,0,0.274867756,0.274867756,0.274867756,0.303024045,0.066021219,0.30112795,0.413914574,1.4455949
 01/01  10:00:00,1.17742671,10.21751858,0,8.874793771,0,0.244352224,0.244352224,0.244352224,0.154878975,0.033744183,0.375064554,0.352274774,1.318460927
 01/01  11:00:00,1.183292942,10.4127438,0,9.225537247,0,0.254009344,0.254009344,0.254009344,0.127943439,0.027875616,0.395792849,0.360559693,1.162372024
 01/01  12:00:00,1.147882351,8.331794059,0,7.288365834,0,0.200672652,0.200672652,0.200672652,0.127943439,0.027875616,0.413608485,0.360670159,1.018586089
 01/01  13:00:00,1.118645229,7.888605533,0,6.95387943,0,0.191463143,0.191463143,0.191463143,0.127943439,0.027875616,0.39965648,0.354594551,0.910302441
 01/01  14:00:00,1.086674702,7.602761522,0,6.735542117,0,0.185451599,0.185451599,0.185451599,0.127943439,0.027875616,0.361435816,0.366856232,0.841951187
 01/01  15:00:00,1.08355294,7.456025956,0,6.651578078,0,0.183139793,0.183139793,0.183139793,0.134677344,0.029342762,0.331767743,0.387513298,0.777756848
 01/01  16:00:00,1.1554661,7.508722315,0,6.695614666,0,0.184352265,0.184352265,0.184352265,0.168346701,0.036678457,0.339922589,0.409054088,0.784932939
 01/01  17:00:00,1.418391552,7.560132483,0,6.659553499,0,0.183359383,0.183359383,0.183359383,0.282822414,0.061619798,0.389638663,0.483839294,0.867253239
 01/01  18:00:00,1.941500434,8.933745637,0,7.863236357,0,0.216500726,0.216500726,0.216500726,0.52524165,0.114436773,0.480421868,0.587787417,1.030023827
 01/01  19:00:00,2.252138668,7.877841164,0,6.644913145,0,0.182956286,0.182956286,0.182956286,0.781128612,0.170188022,0.43259402,0.638159727,1.188973036
 01/01  20:00:00,2.208295493,7.59214167,0,6.325537622,0,0.174162829,0.174162829,0.174162829,0.828265695,0.180457992,0.349590651,0.658706327,1.221233863
